#====================================================================================================
# 涵蓋括號的多個分數的加減乘除法運算 
#====================================================================================================
# pkind 1：非帶分數的加減運算
#====================================================================================================
# 
#   5      6
#  ---- + ---- = ? 
#   12     12
#
#   11     6       9     3     4
#  ---- + --- - ( --- + --- - --- ) = ?
#    7     7       7     7     7
#
#   11      8     5
#  ---- + ---- + --- = ? 
#    3     12     2
#
#====================================================================================================
# parenkind：括號類型
#  0 : 無括號  1 : 小括號  2 : 中括號  3 : [0,1]  4 : [1,2]  5 : [0,2]
#
#  正常情況下，刮號僅在 moptr >= 6 才會產生
#  如果須要在 moptr < 6 時使用刮號 (預設為不可以)
#  則須在 setup_data 函式內將 add_parenthesis 設為 true
#  sden： 0 同分母  1 異分母  2 隨意 
#  ftype： 計算結果分數型式 0 真分數  1 假分數  2 不設定
#  ftex1 , ftex3 ：分數在問題與答案的顯示型式
#      1 ：不約分的非帶分數(預設值)                  -1 數值等同整數，則使用整數
#      2 ：不約分的帶分數(數值等同整數，則使用整數)  -2 與 2 相同
#      3 ：  約分的非帶分數                          -3 數值等同整數，則使用整數
#      4 ：  約分的帶分數(數值等同整數，則使用整數)  -4 與 4 相同
#
# [minn,maxn]：計算式的數字個數範圍
# [mina,maxa]：分子數字範圍
# [minb,maxb]：分母數字範圍
#  maxc：計算結果分數約分後的分母最大值
#====================================================================================================
# kind pkind moptr parenkind sden ftype  ftex1 ftex3  minn maxn  mina  maxa minb  maxb  maxc 
#====================================================================================================

1        1     0       0       0    0       1     1     2     2    1    11     2   12    12
2        1     0       0       0    0       1     1     3     3    1    11     2   12    12
3        1     0       0       0    2       1     1     4     4    1    11     2   12    12
				       	             
11       1     1       0       0    0       1     1     2     2    1    11     2   12    12
12       1     1       0       0    2       1     1     3     3    1    11     2   12    12
13       1     1       0       0    2       1     1     4     4    1    11     2   12    12
				       	             
22       1     4       0       0    2       1     1     3     4    1    11     2   12    12
23       1     4       1       0    2       1     1     4     5    1    11     2   12    12
				       	             
31       1     0       0       1    2       1    -3     2     2    1    11     2   12    12
32       1     0       0       1    2       1    -3     3     3    1    11     2   12    12
33       1     0       0       1    2       1    -3     4     4    1    11     2   12    12
				       	             
41       1     1       0       1    2       1    -3     2     2    1    11     2   12    12
42       1     1       0       1    2       1    -3     3     3    1    11     2   12    12
43       1     1       0       1    2       1    -3     4     4    1    11     2   12    12
				       	             
52       1     4       0       1    2       1     1     3     4    1    11     2   12    12
53       1     4       1       1    2       1     1     4     5    1    11     2   12    12
				       	             
				       	             
61       1     0       0       1    2       1    -3     2     2   10    99    10   30    50
62       1     0       0       1    2       1    -3     3     3   10    99    10   30    50
63       1     0       0       1    2       1    -3     4     5   10    99    10   30    50
				       	             
71       1     1       0       1    2       1    -3     2     2   10    99    10   30    50
72       1     1       0       1    2       1    -3     3     3   10    99    10   30    50
73       1     1       0       1    2       1    -3     4     4   10    99    10   30    99
				       	             
81       1     4       0       1    2       1    -3     3     3   10    99    10   30    50
82       1     4       1       1    2       1    -3     4     5   10    99    10   20    50



