#================================================================================
# 比較簡單分數運算式計算結果大小
#================================================================================

#================================================================================
# pkind 1： 比較四個同分母運算式計算結果大小
#================================================================================
# 
#  qtype :  1 找最大/最小   2 找相同值
#
#  style :  1 使用非帶分數表示
#           2 使用帶分數表示
#
#  moptr :  0 加   1 減   2 乘  3 除  4 加/減  5 乘/除  6 四則
#
#  [amin,amax] 分子範圍
#  [bmin,bmax] 分母範圍
#
#================================================================================
# kind   pkind  qtype  style   moptr   amin  amax   bmin  bmax   
#================================================================================

# 加
   1       1      1      1       0       1     9      2    10    
   2       1      1      1       0       1    99     10    25
   3       1      1      2       0       1    50      2    10

   6       1      2      1       0       1     9      2    10     
   7       1      2      1       0       1    99     10    25
   8       1      2      2       0       1    50      2    10


# 減
  11       1      1      1       1       1     9      2    10    
  12       1      1      1       1       1    99     10    25
  13       1      1      2       1       1    50      2    10

  16       1      2      1       1       1     9      2    10     
  17       1      2      1       1       1    99     10    25
  18       1      2      2       1       1    50      2    10



# 加/減混合
  21       1      1      1       4       1     9      2    10    
  22       1      1      1       4       1    99     10    25
  23       1      1      2       4       1    50      2    10

  26       1      2      1       4       1     9      2    10     
  27       1      2      1       4       1    99     10    25
  28       1      2      2       4       1    50      2    10




#================================================================================
# pkind 2： 乘數/除數為整數
#================================================================================
# [bmin,bmax] 第二數為整數的位數範圍
#================================================================================
# kind   pkind  qtype   style  moptr   amin  amax   bmin  bmax   cmin  cmax
#================================================================================

# 乘
  31       2      1       1      2       1    10      2    10      1     2
  32       2      1       2      2       1    10      2    10      1     2

  36       2      2       1      2       1    10      2    10      1     2
  37       2      2       2      2       1    10      2    10      1     2


# 除
  41       2      1       1      3       1    25      2    10      1     1
  42       2      1       2      3       1    25      2    10      1     1

  46       2      2       1      3       1    25      2    10      1     1
  47       2      2       2      3       1    25      2    10      1     1



# 乘/混合
  51       2      1       1      5       1    10      2    10      1     1
  52       2      1       2      5       1    10      2    10      1     1

  56       2      2       1      5       1    10      2    10      1     1
  57       2      2       2      5       1    10      2    10      1     1



#================================================================================
# pkind 3： 同 1，但分母都一樣
#================================================================================
# 
#  qtype :  1 找最大/最小   2 找相同值
#
#  style :  1 使用非帶分數表示
#           2 使用帶分數表示
#
#  moptr :  0 加   1 減   2 乘  3 除  4 加/減  5 乘/除  6 四則
#
#  [amin,amax] 分子範圍
#  [bmin,bmax] 分母範圍
#
#================================================================================
# kind   pkind  qtype  style   moptr   amin  amax   bmin  bmax   
#================================================================================

# 加
  61       3      1      1       0       1     9      2    10    
  62       3      1      1       0       1    99     10    25
  63       3      1      2       0       1    50      2    10

  66       3      2      1       0       1     9      2    10     
  67       3      2      1       0       1    99     10    25
  68       3      2      2       0       1    50      2    10


# 減
  71       3      1      1       1       1     9      2    10    
  72       3      1      1       1       1    99     10    25
  73       3      1      2       1       1    50      2    10

  76       3      2      1       1       1     9      2    10     
  77       3      2      1       1       1    99     10    25
  78       3      2      2       1       1    50      2    10



# 加/減混合
  81       3      1      1       4       1     9      2    10    
  82       3      1      1       4       1    99     10    25
  83       3      1      2       4       1    50      2    10

  86       3      2      1       4       1     9      2    10     
  87       3      2      1       4       1    99     10    25
  88       3      2      2       4       1    50      2    10



