#=======================================================================================
# 兩個整數間的加法運算 ： a + b = c
#=======================================================================================
#  pkind ：1 四位數以內的運算  2 五位數以上 
#  ptype ：問題的位置   1 : 和  , 2 : 被加數或加數  , 3 : 被加數 , 4 : 加數
#  carry ：個位數為進位次數，負數代表不考慮進位次數
#           x：代表 x 次進位
#          yx：代表進位次數為 [x,y] , y>=x 
#  swapab：  a 與 b 可以互換
#=======================================================================================
# kind   pkind   ptype   carry  swapab   nmin1  nmax1   nmin2  nmax2   nmin3  nmax3
#=======================================================================================

# 無進位                 
1          1       1       0      0         1      9       1      9       1      9
2          1       1       0      1         1      9      10     18      11     19
3          1       1       0      0        10     90      10     90      10     99 
4          1       1       0      1       100    990       1      9     100    999 
5          1       1       0      1       100    900      10     99     100    999 
6          1       1       0      0       100    900     100    900     100    999 
7          1       1       0      1      1000   9990      10     99    1000   9999 
8          1       1       0      1      1000   9000     100    999    1000   9999 
9          1       1       0      0      1000   9000    1000   9999    1000   9999 


# 一次進位               
21         1       2       1      0         1      9       1      9      10     19
22         1       1       1      1         1      9      10     19      20     30
23         1       1       1      0        10     90      10     90      10     99 
24         1       1       1      1       100    900       1      9     100    999 
25         1       1       1      1       100    900      10     99     100    999 
26         1       1       1      0       100    900     100    999     100    999 
27         1       1       1      1      1000   9990      10     99    1000   9999 
28         1       1       1      1      1000   9000     100    999    1000   9999 
29         1       1       1      0      1000   9000    1000   9999    1000   9999 


# 兩次進位               
43         1       1       2      0        10     90      10     90     101    299 
44         1       1       2      1       100    900       1      9     100    999 
45         1       1       2      1       100    900      10     99     100    999 
46         1       1       2      0       100    900     100    999     100    999 
47         1       1       2      1      1000   9990      10     99    1000   9999 
48         1       1       2      1      1000   9000     100    999    1000   9999 
49         1       1       2      0      1000   9000    1000   9999    1000   9999 


# 三次進位               
67         1       1       3      1      1000   9990      10     99    1000   9999 
68         1       1       3      1      1000   9000     100    999    1000   9999 
69         1       1       3      0      1000   9000    1000   9999    1000   9999 


# 不管進位的次數
70         1       1      -1      1        10     99       1      9      11    110
71         1       1      -1      1        10     99      10     99      20    200
72         1       1      -1      1       100    999       1      9     100   1010
73         1       1      -1      1       100    999      10     99     110   1100
74         1       1      -1      1       100    999     100    999     200   2000
75         1       1      -1      1      1000   9999      10     99    1010  10100
76         1       1      -1      1      1000   9999     100    999    1100  11000
77         1       1      -1      1      1000   9999    1000   9999    2000  20000


# 問題在等號左側 

# 無進位                 
101        1       2       0      0         1      9       1      9       1      9
102        1       2       0      1         1      9      10     19      11     19
103        1       2       0      0        10     90      10     90      10     99 
104        1       2       0      1       100    900       1      9     100    999 
105        1       2       0      1       100    900      10     99     100    999 
106        1       2       0      0       100    900     100    999     100    999 

# 一次進位               
121        1       2       1      0         1      9       1      9      10     19
122        1       2       1      1         1      9      10     19      20     30
123        1       2       1      0        10     90      10     90      10     99 
124        1       2       1      1       100    900       1      9     100    999 
125        1       2       1      1       100    900      10     99     100    999 
126        1       2       1      0       100    900     100    999     100    999 

# 兩次進位               
143        1       2       2      0        10     90      10     90     101    299 
144        1       2       2      1       100    900       1      9     100    999 
145        1       2       2      1       100    900      10     99     100    999 
146        1       2       2      0       100    900     100    999     100    999 


# 三次進位               
167        1       2       3      1      1000   9990      10     99    1000   9999 
168        1       2       3      1      1000   9000     100    999    1000   9999 
169        1       2       3      0      1000   9000    1000   9999    1000   9999 


# 加起來為 10 或 20 或 100
181        1       2      -1      0         1      9       1      9      10     10
182        1       2      -1      1         1      9      10     19      20     20
183        1       2      -1      0        10     90      10     90     100    100
184        1       2      -1      0       101    990      10     99    1000   1000
185        1       2      -1      0       100    900     100    900    1000   1000



#=======================================================================================
# kind   pkind   ptype   carry   nmin1  nmax1   nmin2  nmax2   nmin3  nmax3
#=======================================================================================
# nmin1,nmax1,...,nmax3 為位數大小，非數字大小      
#=======================================================================================

# 無進位
301        2       1       0       5      5       2      4       5      6
302        2       1       0       5      5       5      5       5      6
303        2       1       0       5      8       5      8       5      8

# 一到兩次進位
313        2       1      21       5      5       5      5       5      6

# 三到五次進位
314        2       1      35       5      8       5      8       5      8

# 不設定進位次數
315        2       1      -1       5      8       5      8       5      8


# 無進位
321        2       2       0       5      5       2      4       5      6
322        2       2       0       5      5       5      5       5      6
323        2       2       0       5      8       5      8       5      8

# 一到兩次進位
333        2       2      21       5      5       5      5       5      6

# 三到五次進位
334        2       2      35       5      8       5      8       5      8

# 不設定進位次數
335        2       2      -1       5      8       5      8       5      8



#=======================================================================================
#  兩數相加後尾數加起來為 0
#  ptype ：問題的位置   1 : 和  , 2 : 被加數或加數  , 3 : 被加數 , 4 : 加數
#  zeron ：合的尾數為零的次數，例如： 30 為 1， 200 為 2， 103 為 0
#=======================================================================================
# kind   pkind   ptype   zeron  swapab  nmin1  nmax1   nmin2  nmax2   nmin3  nmax3
#=======================================================================================

401        3       4       1      0      10     99       1      9      10     99 
402        3       2       1      1      10     99       1      9      10     99 

403        3       2       1      1      10     99      10     99      10     99 
404        3       2       2      1     100    999      10     99     100    999 

405        3       2       2      1     100    999     100    999     100    999 
406        3       2       3      1    1000   9999    1000   9999    1000   9999 
