#========================================================================
# 各式整數除法對加減法的分配律問題
#========================================================================
# 除法對加減法分配律(整除)
#========================================================================
#   35 / 9 + 10 / 9 = ( 35 + 10 ) / 9 = 45 / 9 = 5
#   35 / 9 - 8 / 9  = ( 35 - 8 ) / 9 = 27 / 9 = 3
#========================================================================
# moptr       0 加  1 減  4 加/減
# dnum        式子的除法數量
# [mina,maxa] 被除數
# [minb,maxb] 除數
# [minc,maxc] 商
#========================================================================
# kind   pkind  moptr  dnum   mina   maxa   minb  maxb   minc   maxc
#========================================================================

1          1      0      2     10     99      2     9      2      9
2          1      1      2     10     99      2     9      2      9
3          1      0      2    100    999      2     9     10     99
4          1      1      2    100    999      2     9     10     99
5          1      0      2   1000   9999      2     9    100    999
6          1      1      2   1000   9999      2     9    100    999

11         1      0      2     10     99     10    99      2      9
12         1      1      2     10     99     10    99      2      9
13         1      0      2    100    999     10    99      2      9
14         1      1      2    100    999     10    99      2      9
15         1      0      2   1000   9999     10    99     10     99
16         1      1      2   1000   9999     10    99     10     99

21         1      0      3     10     99      2     9      2      9
22         1      4      3     10     99      2     9      2      9
23         1      0      3    100    999      2     9     10     99
24         1      4      3    100    999      2     9     10     99
25         1      0      3   1000   9999      2     9    100    999
26         1      4      3   1000   9999      2     9    100    999

31         1      0      3     10     99     10    99      2      9
32         1      4      3     10     99     10    99      2      9
33         1      0      3    100    999     10    99      2      9
34         1      4      3    100    999     10    99      2      9
35         1      0      3   1000   9999     10    99     10     99
36         1      4      3   1000   9999     10    99     10     99



#=======================================================================
# 除法對加減法分配律(整除)  除數間呈倍數
#========================================================================
#  34 / 6 + 4 / 3 = 34 / 6 + 8 / 6 = ( 34 + 8 ) / 6 = 42 / 6 = 7
#  39 / 9 - 4 / 3 = 39 / 9 + 12 / 9 = ( 39 - 12 ) / 9 = 27 / 9 = 3
#========================================================================
# moptr       0 加  1 減  4 加/減
# dnum        式子的除法數量
# [mina,maxa] 被除數
# [minb,maxb] 除數
# [minc,maxc] 商
#========================================================================
# kind   pkind  moptr  dnum   mina   maxa   minb  maxb   minc   maxc
#========================================================================

51         2      0      2     10     99      2     9      2      9
52         2      1      2     10     99      2     9      2      9
53         2      0      2    100    999      2     9     10     99
54         2      1      2    100    999      2     9     10     99
55         2      0      2   1000   9999      2     9    100    999
56         2      1      2   1000   9999      2     9    100    999

61         2      0      2     10     99     10    99      2      9
62         2      1      2     10     99     10    99      2      9
63         2      0      2    100    999     10    99      2      9
64         2      1      2    100    999     10    99      2      9
65         2      0      2   1000   9999     10    99     10     99
66         2      1      2   1000   9999     10    99     10     99

71         2      0      3     10     99      2     9      2      9
72         2      4      3     10     99      2     9      2      9
73         2      0      3    100    999      2     9     10     99
74         2      4      3    100    999      2     9     10     99
75         2      0      3   1000   9999      2     9    100    999
76         2      4      3   1000   9999      2     9    100    999

81         2      0      3     10     99     10    99      2      9
82         2      4      3     10     99     10    99      2      9
83         2      0      3    100    999     10    99      2      9
84         2      4      3    100    999     10    99      2      9
85         2      0      3   1000   9999     10    99     10     99
86         2      4      3   1000   9999     10    99     10     99


