#=======================================================================================================
# 整數加減乘運算六角盤
#=======================================================================================================

                  
#=======================================================================================================
# pkind 1 : 加法
#=======================================================================================================
#
#  問題的位置 q_pos : 1 被加數  2 加數  3 結果  4 被加數或加數  5 隨意  6 加數或結果
#
#  依序排列   ndist : 若固定數為被加數，則可用來控制加數(非固定數)是否依序排列
#                     大於零，則等加數介於 [0,ndist]  小於零，等加數為固定的值 -ndist
#                     0 亂數排列  1 依序排列  >= 2 以等加方式產生數據(等加數為 sortn )
#
#  進位       carry : 0 無      1 有    2 不設定 (當 ndist > 0 時，則 carry = 2 )                                              
#
#  固定的數字 fixn  : 0 混合(q_pos=3)  1 被加數  2 加數  
#
#=======================================================================================================
#                  被加數          加數         結果        問題位置    依序     有無      
#                                                                       排列     進位      
# kind   pkind   amin  amax    bmin   bmax   cmin   cmax      q_pos     ndist    carry     
#=======================================================================================================
							              
# 一位數加法，問題位置在計算結果，無進位
1         1        1     9       1      9       1     20         3         0        0    

# 一位數加法，問題位置在計算結果，有進位
2         1        1     9       1      9       1     20         3         0        1    

# 一位數加法，問題位置在計算結果，進位不設
3         1        1     9       1      9       1     20         3         0        2    

# 一位數加法，問題位置在計算結果，加 1 依序排列，進位不設
4         1        1     9       1      9       1     20         3         1        2    

# 一位數加法，問題位置在加數，加 1 依序排列，進位不設
8         1        1     9       1      9       1     20         2         1        2    

# 一位數加法，問題位置隨意，加 1 依序排列，進位不設
9         1        1     9       1      9       1     20         6         1        2    


# 一位數與兩位數的加法，問題位置在計算結果，無進位
11        1        1     9      10     19       1     30         3         0        0    

# 一位數加法，問題位置在計算結果，有進位
12        1        1     9      10     19       1     30         3         0        1    


# 二位數與一位數的加法，問題位置在計算結果，無進位
14        1       10    19       1      9       1     30         3         0        0    

# 二位數與一位數的加法，問題位置在計算結果，有進位
15        1       10    19       1      9       1     30         3         0        1    

# 二位數與一位數的加法，問題位置隨意，進位不設
16        1       10    19       1      9       1     30         6         0        2    



# 兩位數加法，問題位置在計算結果，無進位
21        1       10    90      10     90      10     99         3         0        0    

# 兩位數加法，問題位置在計算結果，有進位
22        1       10    90      10     90      10     99         3         0        1    

# 兩位數加法，問題位置在計算結果，進位不設定
23        1       10    90      10     90      10     99         3         0        2    

# 兩位數加法，問題位置隨意，進位不設定
24        1       10    90      10     90      10     99         6         0        2    

# 兩位數加法，問題位置隨意，進位不設定，加 [1,n] 依序排列
25        1       10    90      10     90      10     99         6         5        2    


# 三位數加法，問題位置在計算結果，無進位
31        1      100   900     100    990     100    999         3         0        0    

# 三位數加法，問題位置在計算結果，有進位
32        1      100   900     100    990     100    999         3         0        1    

# 三位數加法，問題位置在計算結果，進位不設定
33        1      100   900     100    990     100    999         3         0        2    

# 三位數加法，問題位置隨意，進位不設定，等加數 10
34        1      100   900     100    990     100    999         6       -10        2    

# 三位數加法，問題位置隨意，進位不設定，加 [1,n] 依序排列
35        1      100   900     100    990     100    999         6        10        2    


# 四位數加法，問題位置隨意，進位不設定，等加數 10 
44        1     1000  9000    1000   9000    1000   9999         6       -10        2    

# 四位數加法，問題位置隨意，進位不設定，加數 [1,n] 依序排列
45        1     1000  9000    1000   9000    1000   9999         6      -100        2    



#=======================================================================================================
# pkind 2 : 減法
#=======================================================================================================
#
#  問題的位置 q_pos : 1 被減數  2 減數  3 結果  4 被減數或減數  5 隨意   6 減數或結果
#
#  依序排列   ndist : 若固定數為被減數，則可用來控制減數(非固定數)是否依序排列
#                     大於零，則等減數介於 [0,ndist]  小於零，等減數為固定的值 -ndist
#                     0 亂數排列  1 依序排列  >= 2 以等加方式產生數據(等加數為 sortn )
#
#  退位       borrow : 0 無      1 有    2 不設定 (當 ndist > 0 時，則 borrwo = 2 )                                              
#
#=======================================================================================================
#                   被減數          減數         結果        問題位置    依序     有無    
#                                                                        排列     退位    
# kind   pkind    amin  amax    bmin   bmax   cmin   cmax      q_pos     ndist    borrow  
#=======================================================================================================


# 一位數減法，問題位置在計算結果，退位不設
51         2        1     9      1      9       0      9         3         0        2     

# 一位數減法，問題位置在減數，退位不設
53         2        1     9      1      9       0      9         2         0        2     

# 一位數減法，問題位置隨意，等減數 1，退位不設
54         2        1     9      1      9       0      9         6         1        2     



# 十幾減一位數，問題位置在計算結果，無退位
61         2       10    19      1      9       0     19         3         0        0     

# 十幾減一位數，問題位置在計算結果，有退位
62         2       10    19      1      9       0     19         3         0        1     

# 十幾減一位數，問題位置在計算結果，退位不設
63         2       10    19      1      9       0     19         3         0        2     

# 十幾減一位數，問題位置在減數，退位不設
64         2       10    19      1      9       0     19         2         0        2     

# 十幾減一位數，問題位置隨意，退位不設
