#===============================================================================
# 簡單雙單位加減運算與比較
#===============================================================================

#===============================================================================
# pkind 1 : 問題在右側
#===============================================================================
#
# 24 公分 + 78 公分 = ___ 公尺 ___ 公分 
#
# 9 公尺 - 7 公尺 23 公分 = ___ 公尺 ___ 公分
# 
# 1 公尺 37 公分 - 78 公分 = ___ 公分 
#
#===============================================================================
#
# ukind : 0 時間單位  1 長度單位  2 重量  3 面積  4 體積  5 容積
#
# d1 : 左側最大單位的最大位數
#
# d2 : 右側最大單位的最大位數
#
# aunit1 , aunit2 : 等號左邊運算子前後的單位，可以任意組合 (見範例)
#
# cunit1 , cunit2 : 等號右邊的單位，可以任意組合
#
#===============================================================================
# kind   pkind   optr   d1  d2  ukind  aunit1   aunit2      cunit1   cunit2  
#===============================================================================

# 時間

   1       1       0     1   1    0     天       小時        天       小時    
   2       1       0     1   1    0     小時     分鐘        小時     分鐘    
   3       1       0     1   1    0     分       秒          分       秒
					             	              
   4       1       1     1   1    0     天       小時        天       小時    
   5       1       1     1   1    0     小時     分鐘        小時     分鐘    
   6       1       1     1   1    0     分       秒          分       秒
					             	              
   7       1       4     1   1    0     天       小時        天       小時    
   8       1       4     1   1    0     小時     分鐘        小時     分鐘    
   9       1       4     1   1    0     分       秒          分       秒
					             	              
					             	              
# 長度					             	              
					             	              
  21       1       0     1   1    1     公里     公尺        公里     公尺    
  22       1       0     1   1    1     公尺     公分        公尺     公分    
  23       1       0     2   2    1     公分     毫米        公分     毫米    
					             	              
  24       1       1     1   1    1     公里     公尺        公里     公尺    
  25       1       1     1   1    1     公尺     公分        公尺     公分    
  26       1       1     2   2    1     公分     毫米        公分     毫米    
					             	              
  27       1       4     1   1    1     公里     公尺        公里     公尺    
  28       1       4     1   1    1     公尺     公分        公尺     公分    
  29       1       4     2   2    1     公分     毫米        公分     毫米    
					             	              
					             	              
# 重量					             	              
					             	              
  41       1       0     1   1    2     公噸     公斤        公噸     公斤    
  42       1       0     1   1    2     公斤     公克        公斤     公克    
  43       1       0     1   1    2     公克     毫克        公克     毫克    
					             	              
  44       1       1     1   1    2     公噸     公斤        公噸     公斤    
  45       1       1     1   1    2     公斤     公克        公斤     公克    
  46       1       1     1   1    2     公克     毫克        公克     毫克    
					             	              
  47       1       4     1   1    2     公噸     公斤        公噸     公斤    
